timestamp,Luxembourg_Temperature,Luxembourg_Precipitation,Luxembourg_WindSpeed,Luxembourg_WindDirection
20201026T0000,10.063281,0,6.849467,183.01279
20201026T0100,10.073281,0.4,7.5685663,154.65382
20201026T0200,10.033281,2.7,5.8603754,222.51045
20201026T0300,9.323281,3.1,6.9247384,297.89728
20201026T0400,8.883282,2.3,7.42159,255.96376
20201026T0500,8.813281,1.2,18.129137,276.84277
20201026T0600,7.753281,0,17.015474,276.07245
20201026T0700,7.793281,0,20.5484,266.9872
20201026T0800,7.583281,0,21.659918,254.57785
20201026T0900,7.323281,0,22.461807,248.36911
20201026T1000,7.673281,0,24.162947,245.3441
20201026T1100,8.103282,0,25.071098,237.90741
20201026T1200,7.963281,0,26.089447,242.02054
20201026T1300,11.503282,0,28.99062,241.84381
20201026T1400,11.593282,0,29.795301,244.98311
20201026T1500,10.993281,0,28.894344,239.2811
20201026T1600,11.1232815,0,28.856194,236.70644
20201026T1700,9.573281,0,23.708124,228.07745
20201026T1800,7.963281,0,19.8,216.8699
20201026T1900,9.493281,0,24.408424,217.20792
20201026T2000,8.6232815,0,25.476198,222.7094
20201026T2100,8.813281,0,25.72174,223.29865
20201026T2200,8.523281,0,26.518099,228.30186
20201026T2300,7.1132812,0,21.986542,230.31454
20201027T0000,6.753281,0,20.421871,229.28915
20201027T0100,7.103281,0,20.390114,222.1376
20201027T0200,7.533281,0,23.051247,231.3402
20201027T0300,7.403281,0,22.682856,234.03949
20201027T0400,7.123281,0,20.87379,225
20201027T0500,7.193281,0,19.881649,227.93567
20201027T0600,7.203281,0,22.322903,217.79395
20201027T0700,7.123281,0,22.66857,226.93059
20201027T0800,7.3432813,0,23.424908,223.75464
20201027T0900,8.243281,0,26.739542,226.63658
20201027T1000,8.503282,0,25.501621,221.56638
20201027T1100,8.743281,0,27.438046,218.07278
20201027T1200,8.863281,0,26.596178,219.50768
20201027T1300,9.393282,0,26.282465,216.08508
20201027T1400,10.953281,0,28.58545,216.29263
20201027T1500,11.0832815,0,28.162954,212.47119
20201027T1600,11.413281,0,29.827904,209.65912
20201027T1700,10.543282,0,26.564486,206.56505
20201027T1800,9.513282,0,24.36325,198.97041
20201027T1900,9.403281,0,26.339111,201.65599
20201027T2000,9.643282,0,28.241077,197.04903
20201027T2100,9.683282,0,32.23357,200.25647
20201027T2200,9.3332815,0,32.535713,204.8637
20201027T2300,9.193281,0,30.684587,211.07904
20201028T0000,9.283281,0,28.555965,213.69006
20201028T0100,9.513282,0,27.579382,215.97238
20201028T0200,10.063281,0,28.515089,223.97696
20201028T0300,10.213282,0.1,27.792374,233.42697
20201028T0400,10.093282,0.2,20.018072,232.30576
20201028T0500,10.043282,0.2,21.897945,226.33223
20201028T0600,9.983281,0.3,22.682856,234.03949
20201028T0700,9.933282,0,23.006226,249.86371
20201028T0800,10.163281,0,22.702845,242.6223
20201028T0900,10.313281,0.4,26.368616,237.82878
20201028T1000,10.413281,0,29.795301,241.8868
20201028T1100,11.033281,0,30.45566,241.01118
20201028T1200,11.793282,0,31.072817,243.13809
20201028T1300,12.093282,0,31.487139,239.03624
20201028T1400,12.743281,0,33.912685,232.76517
20201028T1500,12.933282,0,34.131718,232.28403
20201028T1600,12.663281,0,33.84766,231.91122
20201028T1700,12.113281,0,30.344818,228.36647
20201028T1800,11.633282,0,29.03752,222.99045
20201028T1900,10.803282,0.2,30.61482,221.18593
20201028T2000,10.393282,0.2,33.283943,218.85338
20201028T2100,10.203281,0.2,32.619255,222.31622
20201028T2200,10.1232815,0,34.145008,222.43623
20201028T2300,10.213282,0,35.815926,230.7106
20201029T0000,10.143282,0,32.76791,234.38914
20201029T0100,10.153281,0.7,33.1845,241.48875
20201029T0200,9.823281,0.3,29.301876,259.38034
20201029T0300,9.493281,0,29.947151,260.31122
20201029T0400,9.183282,0.3,29.830078,252.43973
20201029T0500,9.193281,0,30.282827,251.99585
20201029T0600,9.0832815,0.4,29.44307,258.0031
20201029T0700,8.793282,0.2,26.932714,261.54498
20201029T0800,8.923282,0.2,24.144167,249.94391
20201029T0900,9.473282,0,31.085323,256.6075
20201029T1000,9.753282,0,28.44,270
20201029T1100,10.183282,0,27.36947,268.49255
20201029T1200,10.523281,0,24.905132,265.85538
20201029T1300,11.3332815,0,25.420181,257.73523
20201029T1400,11.613281,0,23.491207,254.8989
20201029T1500,11.973282,0.1,24.023088,250.75047
20201029T1600,11.663281,0,22.406927,246.31792
20201029T1700,11.473282,0,22.90743,239.80838
20201029T1800,10.553282,0,20.073025,237.45
20201029T1900,10.603282,0,21.710716,229.70786
20201029T2000,10.723282,0,22.26477,230.90614
20201029T2100,11.1232815,0.4,24.408424,232.79208
20201029T2200,11.363281,0,27.783045,238.7816
20201029T2300,11.263282,0,26.89419,242.06287
20201030T0000,11.203281,0,25.872454,248.79077
20201030T0100,11.393282,0,25.161398,250.78732
20201030T0200,11.403281,0,26.64,251.07536
20201030T0300,11.403281,0,26.208395,254.0546
20201030T0400,10.853282,0,23.683512,250.46335
20201030T0500,10.693281,0,25.161398,250.78732
20201030T0600,10.553282,0,25.161398,250.78732
20201030T0700,9.983281,0,24.36325,251.0296
20201030T0800,10.773281,0,24.735432,248.66315
20201030T0900,12.1232815,0,27.438046,250.85187
20201030T1000,12.8332815,0,28.137632,253.65182
20201030T1100,13.683282,0,28.639803,255.43973
20201030T1200,14.643282,0,28.467329,256.84247
