area,name,lon,lat,population,postal_code,ajuntament_address
0.9,Badia del Vallès,2.11635065078735,41.508129119873,13482,8214,"Av. Burgos, s/n"
8.3,Barberà del Vallès,2.12475395202637,41.5155715942383,32832,8210,"Av. Generalitat, 70"
50.4,Begues,1.92340326309204,41.328426361084,6736,8859,"Av. Torre Vilaró, 4"
31,Castellbisbal,1.98022317886353,41.4750862121582,12277,8755,"Av. Pau Casals, 9"
30.6,Cerdanyola del Vallès,2.13626337051392,41.4911613464355,57543,8290,"Plaça Francesc Layret, s/n"
24.1,Cervelló,1.96037292480469,41.3948402404785,8861,8758,"C. Major, 146-148"
18.4,Corbera de Llobregat,1.93084716796875,41.4171142578125,14168,8757,"C. de la Pau, 5"
7,Cornellà de Llobregat,2.07309198379517,41.3562622070313,86072,8940,"Plaça de l'Església, 1"
30.8,Gavà,2.0024299621582,41.3033447265625,46488,8850,"Plaça de Jaume Balmes, s/n"
9,El Papiol,2.00775146484375,41.4368057250977,4075,8754,"Av. Generalitat, 7-9"
31.4,El Prat de Llobregat,2.08963394165039,41.3279724121094,63457,8820,"Plaça de la Vila, 1"
4.6,Esplugues de Llobregat,2.08611488342285,41.3764877319336,45733,8950,"Plaça de Santa Magdalena, 5-6"
8.2,La Palma de Cervelló,1.96916580200195,41.4132919311524,3,8756,"C. Sant Cristòfol, s/n"
23.4,Montcada i Reixac,2.18284606933594,41.4936637878418,34802,8110,"Av. de la Unitat, 6"
2.9,Montgat,2.28301048278809,41.470386505127,10621,8390,"Plaça de la Vila, s/n"
5.3,Pallejà,1.99882507324219,41.4208488464355,11348,8780,"C. del Sol, 1"
4.3,Ripollet,2.15778350830078,41.4988059997559,37648,8291,"C. Balmes, 2"
3.8,Sant Adrià de Besòs,2.22438812255859,41.4270248413086,36496,8930,"Plaça de la Vila, 12"
5.5,Sant Andreu de la Barca,1.9720458984375,41.4483871459961,27434,8740,"Plaça de l'Ajuntament, 1"
21.5,Sant Boi de Llobregat,2.03315734863281,41.3458862304688,82402,8830,"Plaça de l'Ajuntament, 1"
10.8,Sant Climent de Llobregat,1.9965934753418,41.337833404541,4024,8849,"Plaça de la Vila, 1"
48.2,Sant Cugat del Vallès,2.08259582519531,41.4736022949219,88921,8190,"Plaça de la Vila, 1"
11.8,Sant Feliu de Llobregat,2.04860687255859,41.3845367431641,44086,8980,"Plaça de la Vila, 1"
5.6,Sant Joan Despí,2.05787658691406,41.3672752380371,33502,8970,"Camí del Mig, 9"
7.8,Sant Just Desvern,2.06663131713867,41.3833770751953,16927,8960,"Plaça Verdaguer, 2"
9.1,Sant Vicenç dels Horts,2.00260162353516,41.3904609680176,27961,8620,"Plaça de la Vila, 1"
7.5,Santa Coloma de Cervelló,2.0189094543457,41.3676605224609,8073,8690,"C. Pau Casals, 26-34"
7,Santa Coloma de Gramenet,2.20756530761719,41.4450416564941,117153,8921,"Plaça de la Vila, s/n"
8,Tiana,2.26730346679687,41.4779739379883,8553,8391,"Plaça de la Vila, 1"
13.5,Torrelles de Llobregat,1.98028564453125,41.3554229736328,5933,8629,"Plaça de l'Ajuntament, 1"
20.4,Viladecans,2.01290130615234,41.3152084350586,65779,8840,"C. de Jaume Abril, 2"
21.2,Badalona,2.24749994277954,41.4500007629395,215634,8912,"Plaça de la Vila, 1"
100.3,Barcelona,2.17694401741028,41.3824996948242,1608746,8002,"Plaça de Sant Jaume, 1"
12.8,Castelldefels,1.97666704654694,41.2799987792969,64892,8860,"Plaça de l'Església, 1"
15.91,Molins de Rei,2.01583290100098,41.4138908386231,25359,8750,"Plaça de Catalunya, 1"
12.4,L'Hospitalet de Llobregat,2.11418151855469,41.3659858703613,254804,8901,"Plaça de l'Ajuntament, 11"
