Comarca,Municipi,Estacio_codi,Latitud,Longitud,Altitud,Data_alta,Data_baixa,Estat_actual
Alt Camp,Nulles,Nulles [VY],41.25095,1.29863,240,18.09.2000,,Operativa
Alt Camp,Vila-rodona,Vila-rodona - Escola [DA],41.30839,1.3622,278,23.01.1998,28.07.2005,Desmantellada
Alt Camp,Vila-rodona,Vila-rodona [DQ],41.30728,1.36259,287,29.07.2005,,Operativa
Alt Empordà,Cabanes,Cabanes [U1],42.30648,2.95481,31,11.06.1991,,Operativa
Alt Empordà,Castelló d'Empúries,Castelló d'Empúries [W1],42.24726,3.09021,2,14.03.2000,,Operativa
Alt Empordà,Darnius,Pantà de Darnius - Boadella [J5],42.34215,2.83423,158,05.01.1996,,Operativa
Alt Empordà,Espolla,Espolla [VZ],42.38443,3.00736,83,07.06.2000,,Operativa
Alt Empordà,Navata,Navata [Y5],42.22793,2.86295,152,26.08.2014,,Operativa
Alt Empordà,Portbou,Portbou [D6],42.43515,3.16622,196,25.03.1998,,Operativa
Alt Empordà,Roses,Roses [D4],42.27065,3.18165,24,07.02.1996,,Operativa
Alt Empordà,Sant Pere Pescador,Sant Pere Pescador [U2],42.17716,3.0968,4,01.05.1989,,Operativa
Alt Empordà,Torroella de Fluvià,Torroella de Fluvià [W2],42.18259,3.05783,7,14.03.2000,08.04.2014,Desmantellada
Alt Empordà,Torroella de Fluvià,Torroella de Fluvià [XZ],42.18139,3.06202,7,08.04.2014,,Operativa
Alt Empordà,Ventalló,Ventalló [W3],42.15006,3.06494,4,14.03.2000,12.01.2015,Desmantellada
Alt Penedès,Font-rubí,Font-rubí [DI],41.43292,1.62386,415,16.07.1998,,Operativa
Alt Penedès,La Granada,la Granada [W4],41.36619,1.72857,240,25.12.1999,,Operativa
Alt Penedès,Mediona,Canaletes [WP],41.48518,1.69337,325,17.05.2002,,Operativa
Alt Penedès,Sant Martí Sarroca,Sant Martí Sarroca [U3],41.37491,1.63032,257,24.05.1997,,Operativa
Alt Penedès,Sant Sadurní d'Anoia,Sant Sadurní d'Anoia [WY],41.43386,1.79429,164,11.04.2006,,Operativa
Alt Urgell,Fígols i Alinyà,Alinyà [Y4],42.17426,1.42775,1162,01.07.2014,,Operativa
Alt Urgell,La Seu d'Urgell,la Seu d'Urgell - Bellestar [CD],42.37083,1.43277,849,16.01.1996,,Operativa
Alt Urgell,Oliana,Oliana [W5],42.07683,1.31489,490,22.06.2000,,Operativa
Alt Urgell,Organyà,Organyà [CJ],42.21624,1.33132,566,16.01.1996,,Operativa
Alta Ribagorça,El Pont de Suert,el Pont de Suert [CT],42.39811,0.74362,823,14.02.1996,,Operativa
Alta Ribagorça,La Vall de Boí,Boí (2.535 m) [Z2],42.46602,0.88405,2535,13.11.1998,,Operativa
Anoia,Els Hostalets de Pierola,els Hostalets de Pierola [CE],41.53109,1.80813,316,31.03.1996,,Operativa
Anoia,La Llacuna,la Llacuna [XB],41.4779,1.53529,584,19.03.2008,,Operativa
Anoia,Montmaneu,la Panadella [XA],41.60257,1.4007,785,18.12.2008,,Operativa
Anoia,Òdena,Òdena [H1],41.58642,1.65306,333,31.05.1999,,Operativa
Anoia,Pujalt,Pujalt [YH],41.71734,1.42403,747,06.04.2018,,Operativa
Bages,Artés,Artés [WW],41.79423,1.9368,278,16.02.2006,,Operativa
Bages,Cardona,Cardona [MQ],41.92047,1.69584,402,16.01.2003,,Operativa
Bages,Castellnou de Bages,Castellnou de Bages [U4],41.83094,1.84699,507,22.01.1998,,Operativa
Bages,El Pont de Vilomara i Rocafort,el Pont de Vilomara [R1],41.70637,1.87276,210,02.03.2000,01.11.2019,Desmantellada
Bages,Monistrol de Montserrat,Montserrat - Sant Dimes [WN],41.59539,1.83751,916,02.01.2003,,Operativa
Bages,Sant Salvador de Guardiola,Sant Salvador de Guardiola [CL],41.67399,1.76796,349,02.02.1996,,Operativa
Baix Camp,Botarell,Botarell [DE],41.15404,0.99772,231,16.01.1998,16.01.2007,Desmantellada
Baix Camp,Mont-roig del Camp,Mont-roig del Camp [YF],41.0188,0.93343,43,20.12.2017,,Operativa
Baix Camp,Prades,Prades - los Hortals [U5],41.31349,0.99611,969,12.12.1995,31.01.2013,Desmantellada
Baix Camp,Prades,Prades [XR],41.31481,0.98161,926,31.01.2013,,Operativa
Baix Camp,Riudecanyes,Riudecanyes [YL],41.1227,0.96951,170,06.02.2019,,Operativa
Baix Camp,Riudoms,Riudoms [W6],41.13738,1.0187,158,19.10.1999,06.02.2019,Desmantellada
Baix Camp,Vinyols i els Arcs,Vinyols i els Arcs [U6],41.08017,1.06661,29,17.05.1989,,Operativa
Baix Ebre,Aldover,Aldover [U7],40.85936,0.50525,52,31.12.1994,,Operativa
Baix Ebre,Deltebre,Punta del Fangar [U8],40.78653,0.74264,0,30.04.1992,19.02.2009,Desmantellada
Baix Ebre,El Perelló,el Perelló [DB],40.87287,0.71581,179,05.02.1998,,Operativa
Baix Ebre,L'Aldea,l'Aldea [U9],40.76947,0.61635,62,03.06.1991,,Operativa
Baix Ebre,L'Ametlla de Mar,l'Ametlla de Mar [UA],40.9091,0.76943,93,29.08.1995,,Operativa
Baix Ebre,Roquetes,PN dels Ports [X5],40.79705,0.31822,1055,04.01.2007,,Operativa
Baix Empordà,Castell-Platja d'Aro,Castell d'Aro [DO],41.80857,3.03241,14,10.05.2001,,Operativa
Baix Empordà,Cruïlles. Monells i Sant Sadurní de l'Heura,Monells [UC],41.97726,2.99705,60,04.03.1998,,Operativa
Baix Empordà,La Bisbal d'Empordà,la Bisbal d'Empordà [DF],41.97751,3.03543,29,25.03.1998,,Operativa
Baix Empordà,La Tallada d'Empordà,la Tallada d'Empordà [UB],42.05398,3.06195,15,01.05.1989,,Operativa
Baix Empordà,Serra de Daró,Serra de Daró [UD],42.02895,3.06227,12,09.06.1999,01.06.2013,Desmantellada
Baix Empordà,Torroella de Montgrí,Torroella de Montgrí [UE],42.02306,3.15719,4,09.06.1999,,Operativa
Baix Llobregat,Begues,PN del Garraf - el Rascler [UF],41.28832,1.90775,573,29.02.1996,,Operativa
Baix Llobregat,El Prat de Llobregat,el Prat de Llobregat [XL],41.34045,2.08022,8,22.03.2011,,Operativa
Baix Llobregat,El Prat de Llobregat,Port de Barcelona - Bocana Sud [Y7],41.31725,2.16537,3,08.04.2015,,Operativa
Baix Llobregat,Vallirana,Vallirana [D3],41.38197,1.93564,252,28.10.1995,,Operativa
Baix Llobregat,Viladecans,Viladecans [UG],41.29928,2.03787,3,29.04.1993,,Operativa
Baix Penedès,Cunit,Cunit [WZ],41.20187,1.63346,17,27.06.2006,,Operativa
Baix Penedès,El Montmell,el Montmell [UH],41.34171,1.48769,545,13.07.1995,,Operativa
Baix Penedès,El Vendrell,el Vendrell [D9],41.21553,1.52121,59,11.06.1999,,Operativa
Baix Penedès,La Bisbal del Penedès,la Bisbal del Penedès [WO],41.27151,1.46717,185,16.05.2002,,Operativa
Barcelonès,Badalona,Badalona - Mas Ram [DH],41.47638,2.25213,126,23.03.1998,08.09.2005,Desmantellada
Barcelonès,Badalona,Badalona - Museu [WU],41.45215,2.24757,42,21.09.2005,,Operativa
Barcelonès,Barcelona,Barcelona - Av. Lluís Companys [AN],41.39004,2.18091,8,11.05.1992,29.10.2002,Desmantellada
Barcelonès,Barcelona,Barcelona - Observatori Fabra [D5],41.41864,2.12379,411,03.11.1995,,Operativa
Barcelonès,Barcelona,Barcelona - Zoo [X2],41.38943,2.18847,7,22.09.2006,,Operativa
Barcelonès,Barcelona,Barcelona - el Raval [X4],41.3839,2.16775,33,11.10.2006,,Operativa
Barcelonès,Barcelona,Barcelona - Zona Universitària [X8],41.37919,2.1054,79,17.04.2008,,Operativa
Berguedà,Berga,Santuari de Queralt [WM],42.10736,1.8267,1167,23.01.2002,,Operativa
Berguedà,Castellar de n'Hug,Castellar de n'Hug - el Clot del Moro [MS],42.25978,1.97747,938,26.01.2010,,Operativa
Berguedà,Gisclareny,Gisclareny [UI],42.26477,1.76218,1386,12.03.1999,,Operativa
Berguedà,Guardiola de Berguedà,Guardiola de Berguedà - Escola [CN],42.22903,1.87672,720,20.02.1996,21.03.2005,Desmantellada
Berguedà,Guardiola de Berguedà,Guardiola de Berguedà [WV],42.23414,1.87485,788,28.11.2005,,Operativa
Berguedà,La Quar,la Quar [CR],42.08032,1.9624,873,13.03.1996,,Operativa
Cerdanya,Alp,la Tosa d'Alp 2500 [ZD],42.32211,1.89716,2478,04.09.2014,,Operativa
Cerdanya,Das,Das - Aeròdrom [DP],42.38605,1.8664,1097,22.05.2001,,Operativa
Cerdanya,Meranges,Malniu (2.230 m) [Z3],42.46605,1.7785,2230,03.11.1999,,Operativa
Cerdanya,Montellà i Martinet,Cadí Nord (2.143 m) - Prat d'Aguiló [Z9],42.29265,1.71498,2143,06.11.2003,,Operativa
Cerdanya,Puigcerdà,Puigcerdà [YA],42.44013,1.93482,1213,22.03.2016,,Operativa
