
Year,"1821","1900","1947","1960","1970","1981","1991","2001","2011","2015","2016","2017","2018","2019","2020"
"Specification",
"Grand Duchy of Luxembourg",134082,236125,290992,314889,339841,364597,384634,439539,512353,562958,576249,590667,602005,613894,626108
"Canton Capellen",10685,15744,16025,17767,21381,27148,31791,37133,41173,44509,45276,47209,48187,49066,50094
"Dippach",880,1150,1224,1329,1620,2008,2588,3189,3544,4037,4071,4178,4210,4333,4449
"Garnich",666,1026,920,888,980,1111,1264,1495,1861,1991,2043,2099,2129,2167,2193
"Habscht",2328,2933,2633,2456,2644,2547,2731,3340,3840,4205,4247,4330,4426,4528,4730
"Käerjeng",1781,2609,3267,3938,5225,6072,6662,8695,9671,9979,10033,10232,10294,10409,10464
"Kehlen",1528,2096,1562,1629,1674,2727,4381,4792,5048,5375,5457,5903,6056,6143,6232
"Koerich",964,1343,1140,1250,1238,1392,1517,1802,2283,2440,2520,2528,2579,2591,2616
"Kopstal",663,1019,1060,1484,2295,3023,2963,3002,3097,3337,3448,3673,3839,3884,4038
"Mamer",1223,1948,2070,2455,3123,5423,6264,6753,7473,8463,8695,9185,9528,9730,9913
"Steinfort",652,1620,2149,2338,2582,2845,3421,4065,4356,4682,4762,5081,5126,5281,5459
"Canton Esch",12078,51964,94904,108379,114778,114483,116501,134674,152479,164604,167955,172687,176820,180275,183364
"Bettembourg",1022,2203,5061,5877,6623,7131,8020,9063,9790,10178,10400,10736,11003,11197,11319
"Differdange",1655,8756,15179,17637,17964,16726,15740,18172,21935,24304,24805,25402,26193,26796,27409
"Dudelange",1398,8741,12878,14617,14615,14072,14674,17320,18781,19734,20003,20480,20869,21087,21291
"Esch-sur-Alzette",810,10971,26851,27954,27574,25144,24018,27146,30125,33286,33939,34378,35040,35382,36218
"Frisange",932,1161,1137,1167,1342,1688,2053,2878,3750,4104,4344,4557,4612,4682,4746
"Kayl",724,4069,5471,6505,6691,6354,6292,7050,7767,8121,8247,8982,9098,9315,9506
"Leudelange",282,694,714,788,1077,1340,1442,1851,2148,2400,2445,2596,2579,2668,2702
"Mondercange",988,1022,1253,2200,3262,3964,4942,6089,6228,6420,6510,6708,6936,6959,7007
"Pétange",777,4406,10456,11623,11844,12127,12352,13749,16085,17582,17973,18238,18688,19154,19574
"Reckange-sur-Mess",578,842,722,801,1052,1406,1556,1700,2138,2297,2304,2397,2449,2511,2594
"Roeser",915,1372,1518,1767,2281,3038,3488,4457,5302,5736,5891,6125,6278,6459,6551
"Rumelange",401,4601,4072,4271,3935,3711,3500,4309,5038,5338,5422,5573,5545,5608,5604
"Sanem",1096,1877,4468,7021,10078,11162,11554,13041,14470,15415,15748,16136,16780,17277,17550
"Schifflange",500,1249,5124,6151,6440,6620,6870,7849,8922,9689,9924,10379,10750,11180,11293
"Canton Luxembourg",23953,52062,76900,89492,101654,114225,117471,125019,151592,172332,177969,179369,182607,186533,190671
"Bertrange",822,1177,1320,1677,2461,4000,4228,5514,6213,6869,7387,7999,8157,8282,8432
"Contern",793,1098,1236,1181,1639,2203,2568,3082,3419,3496,3511,3736,3816,3865,3939
"Hesperange",1449,2299,3218,3883,6293,9090,9921,10400,13335,14393,14650,15049,15246,15479,15584
"Luxembourg",15091,39488,61996,71653,76159,78912,75833,76688,95058,111287,115227,114303,116323,119215,122273
"Niederanven",1580,1950,1568,1760,2042,3393,5053,5439,5424,5737,5866,6090,6156,6222,6312
"Sandweiler",468,942,895,1120,1927,2028,2020,2577,3137,3478,3450,3592,3642,3676,3698
"Schuttrange",813,863,1051,1055,1224,1738,2503,3258,3721,4033,4147,4028,4156,4166,4274
"Steinsel",1146,1203,1427,1669,1911,2421,3521,4402,4717,5016,5171,5311,5321,5408,5443
"Strassen",595,1330,1446,1892,3085,4242,4920,5901,7399,8026,8497,8828,9232,9589,9888
"Walferdange",594,941,2132,3008,4279,5300,5819,6437,7240,7819,7818,8046,8169,8231,8424
"Weiler-la-Tour",602,771,611,594,634,898,1085,1321,1929,2178,2245,2387,2389,2400,2404
"Canton Mersch",10542,12612,12447,12109,13814,16542,19141,23311,27276,29867,30382,31351,32112,32725,33326
"Bissen",782,1205,1096,1085,1323,1671,1781,2447,2784,2846,2879,3021,3095,3183,3216
"Colmar-Berg",458,678,572,680,935,1176,1385,1711,1919,2108,2115,2175,2218,2187,2192
"Fischbach",708,621,467,388,426,465,491,635,894,1139,1174,1195,1236,1239,1215
"Heffingen",574,841,724,616,603,654,684,824,1068,1201,1239,1317,1394,1468,1504
"Helperknapp",1705,1859,1629,1475,1446,1752,2144,2787,3312,3776,3888,4095,4177,4241,4387
"Larochette",1104,1324,1134,958,1137,1280,1288,1742,2012,2122,2101,2162,2146,2152,2194
"Lintgen",1097,1036,1303,1365,1532,1616,1841,2226,2605,2798,2811,2902,3039,3108,3155
"Lorentzweiler",1133,1186,1432,1462,1788,2448,2773,2973,3531,3723,3798,3896,3986,4083,4246
"Mersch",2223,2989,3367,3480,4004,4817,5970,7012,7973,8841,9046,9195,9440,9643,9816
"Nommern",758,873,723,600,620,663,784,954,1178,1313,1331,1393,1381,1421,1401
"Canton Clervaux",9851,15771,13405,11458,10543,9880,10559,12836,15405,16822,17126,17631,18081,18436,18936
"Clervaux",2468,3945,3599,3196,3041,2834,2991,3557,4358,4815,4847,5069,5228,5340,5463
"Parc Hosingen",2436,3024,2112,1864,1685,1673,1852,2223,2984,3297,3350,3434,3495,3591,3669
"Troisvierges",1362,2597,2518,2006,1848,1858,1993,2523,2919,3039,3112,3141,3179,3201,3296
"Weiswampach",1043,1534,1290,1093,984,882,976,1152,1362,1572,1676,1760,1843,1912,2005
"Wincrange",2542,4671,3886,3299,2985,2633,2747,3381,3782,4099,4141,4227,4336,4392,4503
"Canton Diekirch",10343,16588,15656,16760,18754,20931,22331,25603,28489,31024,31819,32244,32543,33216,33782
"Bettendorf",1259,1793,1457,1459,1559,1748,2019,2314,2489,2630,2659,2753,2821,2857,2907
"Bourscheid",1127,1606,1147,1026,966,924,1027,1130,1336,1647,1751,1820,1764,1725,1718
"Diekirch",1793,3838,3809,4397,5059,5585,5589,6068,6318,6728,6896,6472,6756,6988,7042
"Erpeldange-sur-Sûre",604,676,593,646,864,1160,1548,2061,2295,2409,2396,2392,2339,2406,2482
"Ettelbruck",1681,3770,4452,5101,5990,6454,6552,7344,7831,8347,8541,8833,8735,8926,9148
"Feulen",874,947,827,729,723,1003,1169,1369,1585,1793,1903,2062,2080,2164,2224
"Mertzig",576,826,702,746,814,920,1033,1439,1746,1998,2080,2115,2212,2251,2293
"Reisdorf",515,631,510,516,502,543,531,741,1043,1105,1121,1202,1206,1234,1276
"Schieren",520,804,754,845,965,1173,1293,1358,1497,1847,1902,2004,2036,2024,2039
"Vallée de l'Ernz",1394,1697,1405,1295,1312,1421,1570,1779,2349,2520,2570,2591,2594,2641,2653
"Canton Redange",10345,14243,11657,10500,10305,10268,11075,13666,16146,17401,17609,18351,18664,19096,19473
"Beckerich",1532,2039,1729,1638,1570,1492,1647,2071,2293,2408,2437,2489,2518,2619,2708
"Ell",788,947,679,618,590,559,595,823,1089,1235,1230,1265,1289,1350,1425
